team,stadium,city,state,conference,capacity,built,expanded,div,latitude,longitude,logo
Oklahoma,Gaylord Family Oklahoma Memorial Stadium,Norman,OK,Big 12,82112,1925,2003,fbs,35.205899594885075,-97.44255065917969,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\oklahoma.png"""
Oklahoma State,Boone Pickens Stadium,Stillwater,OK,Big 12,60218,1919,2005,fbs,36.12570866235855,-97.06650495529176,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\OklahomaState.png"""
Old Dominion,Foreman Field,Norfolk,VA,C-USA,20118,1936,2009,fbs,36.88878131523489,-76.30567610263823,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\oldDominion.png"""
Oregon,Autzen Stadium,Eugene,OR,Pac-12,54000,1967,2002,fbs,44.058272724266615,-123.0685043334961,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\oregon.png"""
Oregon State,Reser Stadium,Corvallis,OR,Pac-12,45674,1953,2005,fbs,44.5594768421455,-123.2814073562622,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\oregonState.png"""
Penn State,Beaver Stadium,University Park,PA,Big Ten,106572,1960,2001,fbs,40.81215273275043,-77.85620212554932,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\pennState.png"""
Pittsburgh,Heinz Field,Pittsburgh,PA,ACC,68400,2001,,fbs,40.44678376501633,-80.01575589179994,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\pittsburgh.png"""
Purdue,Ross–Ade Stadium,West Lafayette,IN,Big Ten,56400,1924,2006,fbs,40.434323,-86.918485,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\purdue.png"""
Rice,Rice Stadium,Houston,TX,C-USA,47000,1950,,fbs,29.716234029094373,-95.40926456451416,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\rice.png"""
Rutgers,High Point Solutions Stadium,Piscataway,NJ,Big Ten,52454,1994,2009,fbs,40.51378289308872,-74.4650445708728,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\rutgers.png"""
SMU,Gerald J. Ford Stadium,University Park,TX,American,32000,2000,,fbs,32.837715809942544,-96.782705783844,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\smu.png"""
San Diego State,Qualcomm Stadium,San Diego,CA,Mountain West,70561,1967,1997,fbs,32.783053257791146,-117.11960077285768,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\sanDiegoState.png"""
San Jose State,Spartan Stadium,San Jose,CA,Mountain West,30456,1933,1985,fbs,37.32010518669085,-121.86811613079064,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\sanJoseState.png"""
